reaction,ec,kegg
rxn14050_c0,1.13.11.18,R08678
rxn15776_c0,1.13.11.18,
rxn00543_c0,1.1.1.1,R00754
rxn05125_c0,6.2.1.32,R07416
rxn05318_c0,,
rxn11992_c0,1.14.14.1,R03697
rxn12032_c0,1.14.14.1,R08265
rxn12529_c0,,
rxn03380_c0,4.2.1.21;4.2.1.22,R04942
rxn05316_c0,,
rxn19956_c0,1.17.1.2;1.17.7.4,
rxn13794_c0,,
rxn00931_c0,1.5.1.2,R01251
rxn08310_c0,2.7.7.41,
rxn08745_c0,,
rxn09141_c0,3.1.1.32,
rxn09148_c0,3.1.1.4,
rxn09209_c0,2.7.8.8,
rxn19029_c0,1.1.1.86;1.1.1.89,
rxn38273_c0,2.7.6.1,
rxn05508_c0,,
rxn29257_c0,,
rxn00500_c0,1.1.1.28,R00704
rxn01605_c0,4.1.1.6,R02243
rxn09177_c0,6.3.2.5,R04231
rxn01268_c0,1.3.1.12,R01728
rxn09663_c0,,
rxn00324_c0,1.1.1.26,R00465
rxn10832_c0,,
rxn32777_c0,1.5.1.5,
rxn00470_c0,4.1.1.17,R00670
rxn00938_c0,3.5.1.19,R01268
rxn05578_c0,,
rxn08865_c0,,
rxn09165_c0,,
rxn09191_c0,,
rxn32434_c0,1.5.1.3;1.5.1.4,
rxn34241_c0,,
rxn90019_c0,,
rxn01262_c0,2.1.1.7,R01721
rxn00539_c0,4.3.1.7,R00749
rxn00621_c0,2.7.7.39,R00856
rxn00640_c0,,R00883
rxn00984_c0,,R01352
rxn01151_c0,,R01576
rxn01328_c0,,R01817
rxn01380_c0,2.7.7.15,R01890
rxn01983_c0,,R02746;R07291
rxn03536_c0,2.7.1.156,R05221
rxn04684_c0,,R06871
rxn05963_c0,,R01310
rxn05965_c0,3.1.1.4,R01313;R01315
rxn05971_c0,2.7.8.16;2.7.8.2,R01321
rxn06043_c0,2.7.7.41,R01799
rxn06045_c0,2.7.8.5,R01801
rxn06218_c0,,R02688
rxn06224_c0,,R02704
rxn08806_c0,,
rxn08824_c0,,
rxn08831_c0,,
rxn08848_c0,,
rxn09101_c0,3.1.3.27,
rxn09108_c0,2.7.8.5,
rxn09130_c0,3.1.1.32,
rxn09137_c0,3.1.1.32,
rxn09140_c0,3.1.1.32,
rxn09154_c0,3.1.1.4,
rxn09205_c0,2.7.8.8,
rxn10213_c0,,
rxn10664_c0,,
rxn10666_c0,,
rxn10686_c0,,
rxn10687_c0,,
rxn10690_c0,,
rxn10695_c0,,
rxn10719_c0,,
rxn12858_c0,,
rxn13015_c0,,
rxn13152_c0,,
rxn13308_c0,,
rxn15155_c0,2.7.1.59,
rxn15535_c0,,
rxn02009_c0,6.3.2.7,
rxn09111_c0,2.7.8.5,
rxn09208_c0,2.7.8.8,
rxn32754_c0,2.7.5.7;5.4.2.8,
rxn00444_c0,1.11.1.11,
rxn00449_c0,1.1.3.8,
rxn00962_c0,1.14.13.2,R01298
rxn00964_c0,6.2.1.27,R01300
rxn02279_c0,1.1.3.8,
rxn09127_c0,3.1.1.32,
rxn09155_c0,3.1.1.4,
rxn18917_c0,5.4.2.12,
rxn32027_c0,5.3.1.13,
rxn32365_c0,2.5.1.55;4.1.2.16,
rxn08312_c0,2.7.7.41,
rxn09143_c0,3.1.1.32,
rxn09150_c0,3.1.1.4,
rxn09211_c0,2.7.8.8,
rxn15167_c0,4.2.1.21;4.2.1.22,
rxn00929_c0,1.5.1.2,R01248
rxn15057_c0,1.1.1.286;1.1.1.87,
rxn03572_c0,1.14.14.1,
rxn04793_c0,1.3.1.8,R06985
rxn05223_c0,,
rxn05308_c0,,
rxn15056_c0,1.1.1.286;1.1.1.87,
rxn19870_c0,2.1.2.1,
rxn00671_c0,1.2.1.27,R00922
rxn00779_c0,1.2.1.9,R01058
rxn01453_c0,1.1.1.36,R01977
rxn01841_c0,1.2.1.5,R02537
rxn01944_c0,1.2.1.5,
rxn02107_c0,1.2.1.65,R02941
rxn02365_c0,1.2.1.5,R03302
rxn02424_c0,1.2.1.27,
rxn02744_c0,1.2.1.32,
rxn03055_c0,1.2.1.60,R04418
rxn03336_c0,1.2.1.5,R04883
rxn03340_c0,1.2.1.5,R04888
rxn03341_c0,1.2.1.5,R04889
rxn03344_c0,1.2.1.5,R04892
rxn03400_c0,1.2.1.5,R04996
rxn03654_c0,1.2.1.32,
rxn03861_c0,1.1.1.36,R05576
rxn04907_c0,1.2.1.5,R07104
rxn05159_c0,,
rxn05167_c0,,
rxn05173_c0,,
rxn05598_c0,,
rxn05691_c0,,
rxn06038_c0,1.1.1.36,R01779
rxn08111_c0,1.2.1.5,
rxn08877_c0,,
rxn08990_c0,,
rxn09673_c0,,
rxn09882_c0,1.2.1.5,
rxn09956_c0,1.2.1.5,
rxn09958_c0,1.2.1.5,
rxn09960_c0,1.2.1.5,
rxn09972_c0,1.2.1.5,
rxn09973_c0,1.2.1.5,
rxn09974_c0,1.2.1.5,
rxn09977_c0,1.2.1.5,
rxn10822_c0,,
rxn10833_c0,,
rxn11140_c0,,
rxn11381_c0,1.1.1.36,
rxn11810_c0,1.2.1.5,R08282
rxn11811_c0,1.2.1.5,R08283
rxn11835_c0,1.2.1.5,R08307
rxn12767_c0,1.1.1.36,
rxn12768_c0,1.1.1.36,
rxn12769_c0,1.1.1.36,
rxn12770_c0,1.1.1.36,
rxn12771_c0,1.1.1.36,
rxn15094_c0,1.2.1.27,
rxn18552_c0,,
rxn02303_c0,1.3.3.3,R03220
rxn03393_c0,,R04986
rxn03893_c0,,R05615
rxn05278_c0,,
rxn06079_c0,,R02027
rxn06139_c0,2.7.1.107,R02240
rxn08221_c0,,
rxn08228_c0,,
rxn08812_c0,,
rxn08819_c0,,
rxn09037_c0,2.5.1.90,R09248
rxn09040_c0,,
rxn09042_c0,,
rxn09125_c0,3.1.1.32,
rxn09160_c0,3.1.1.4,
rxn10029_c0,,
rxn10208_c0,2.3.1.15,
rxn10217_c0,,
rxn10223_c0,2.7.7.41,
rxn10239_c0,,
rxn10262_c0,2.7.8.5,
rxn10268_c0,3.1.3.27,
rxn10621_c0,,
rxn10623_c0,,
rxn13085_c0,,
rxn13123_c0,,
rxn10228_c0,2.7.8.8,
rxn00078_c0,2.7.1.86;2.7.1.96,R00105
rxn00827_c0,2.7.7.43,R01117
rxn01403_c0,6.3.1.8;6.3.1.9,R01917
rxn02706_c0,6.3.1.9,R03822
rxn05148_c0,,
rxn09128_c0,3.1.1.32,
rxn27536_c0,2.2.1.1,
rxn32623_c0,2.5.1.31,
rxn32808_c0,2.5.1.31,
rxn33047_c0,2.5.1.31,
rxn33320_c0,2.5.1.31,
rxn02890_c0,1.1.1.52,R04139
rxn09120_c0,,
rxn23106_c0,1.1.1.392,
rxn32446_c0,5.4.2.10,
rxn01890_c0,3.1.3.29,R02597
rxn01892_c0,2.7.7.43,R02599
rxn08853_c0,,
rxn08909_c0,,
rxn09142_c0,3.1.1.32,
rxn09263_c0,,
rxn09377_c0,,
rxn26481_c0,1.17.1.2;1.17.7.4,
rxn00630_c0,,R00870
rxn05331_c0,,R04965
rxn05404_c0,,
rxn05405_c0,,
rxn05406_c0,,
rxn05444_c0,,
rxn05453_c0,,
rxn05454_c0,,
rxn06041_c0,,R01797
rxn08948_c0,,
rxn12221_c0,,
rxn13395_c0,,
rxn09723_c0,,
rxn02802_c0,1.3.1.8,R03989
rxn04861_c0,1.14.14.1,R07055
rxn09162_c0,3.1.1.4,
rxn10457_c0,2.7.7.41,
rxn32060_c0,2.2.1.6;4.1.3.18,
rxn00565_c0,1.13.11.18,
rxn00763_c0,1.1.1.1;1.1.1.139;1.1.1.21,R01036
rxn01537_c0,3.5.99.2,R02133
rxn05153_c0,,
rxn09122_c0,,
rxn10506_c0,3.5.4.26,R09377
rxn24116_c0,,
rxn00511_c0,1.5.1.8,R00716
rxn01043_c0,1.1.1.139;1.1.1.21,R01431
rxn01290_c0,1.1.1.139;1.1.1.21,R01758
rxn01291_c0,1.1.1.139;1.1.1.21,R01759
rxn01310_c0,1.1.1.139;1.1.1.21,
rxn01338_c0,1.1.1.64,R01838
rxn01618_c0,1.1.1.283,R02260
rxn01831_c0,1.1.1.139;1.1.1.21,R02527
rxn01835_c0,1.1.1.139;1.1.1.21,R02531;R10715
rxn01942_c0,1.1.1.188,R02684
rxn02224_c0,1.2.1.31,R03098
rxn02226_c0,1.2.1.31,R03102
rxn02227_c0,1.2.1.31,R03103
rxn04937_c0,1.1.1.283,R02260
rxn06252_c0,1.1.1.139;1.1.1.21,R02819
rxn06253_c0,1.1.1.139;1.1.1.21,R02820
rxn11551_c0,1.1.1.139;1.1.1.21,R01093
rxn11552_c0,1.1.1.139;1.1.1.21,R01095
rxn11966_c0,1.1.1.188,R02799
rxn15122_c0,1.1.1.139;1.1.1.21,
rxn15123_c0,1.1.1.139;1.1.1.21,
rxn15126_c0,1.1.1.139;1.1.1.21,
rxn15127_c0,1.1.1.139;1.1.1.21,
rxn15189_c0,1.1.1.139;1.1.1.21,
rxn15190_c0,1.1.1.139;1.1.1.21,
rxn15238_c0,1.1.1.139;1.1.1.21,
rxn15239_c0,1.1.1.139;1.1.1.21,
rxn15240_c0,1.1.1.139;1.1.1.21,
rxn15241_c0,1.1.1.139;1.1.1.21,
rxn15341_c0,1.1.1.139;1.1.1.21,
rxn15346_c0,1.1.1.139;1.1.1.21,
rxn15660_c0,1.1.1.283,
rxn31363_c0,1.1.1.70;1.2.1.3,
rxn38862_c0,1.1.1.70;1.2.1.3,
rxn00102_c0,4.2.1.1,R00132;R10092
rxn02450_c0,,R03417
rxn05942_c0,,
rxn05962_c0,,R01309
rxn06089_c0,3.1.1.32,R02054
rxn08308_c0,2.7.7.41,
rxn08805_c0,,
rxn09153_c0,3.1.1.4,
rxn09207_c0,2.7.8.8,
rxn09704_c0,,
rxn10256_c0,2.7.1.107,
rxn10277_c0,,
rxn10286_c0,,
rxn10295_c0,,
rxn10322_c0,,
rxn41427_c0,2.8.1.16,
rxn00988_c0,6.2.1.16,R01357
rxn00572_c0,1.6.6.3;1.7.1.3,R00796
rxn00656_c0,2.6.1.18,R00907
rxn01396_c0,2.7.1.35,R01909
rxn06527_c0,1.8.4.2,R03915
rxn08670_c0,1.8.4.2,
rxn08671_c0,,
rxn13116_c0,,
rxn30452_c0,,
rxn05313_c0,,
rxn30216_c0,,
rxn12459_c0,,
rxn33812_c0,,
rxn00953_c0,4.2.1.21;4.2.1.22,R01289
rxn27920_c0,5.4.3.8,
rxn38151_c0,2.7.1.39,
rxn05644_c0,,
rxn33813_c0,,
rxn01391_c0,1.1.1.12,
rxn01392_c0,1.1.1.10,
rxn33817_c0,,
rxn11735_c0,6.4.1.7,R08201
rxn03005_c0,2.1.2.2,R04326
rxn05569_c0,,
rxn08524_c0,,
rxn09129_c0,3.1.1.32,
rxn00023_c0,1.8.2.2,
rxn00350_c0,3.4.19.13,R00494
rxn00361_c0,2.7.1.25,R00509
rxn00379_c0,2.7.7.4,R00529
rxn00623_c0,1.8.2.2,R00858
rxn02727_c0,2.3.2.2,R09875
rxn02791_c0,2.3.2.2,R03970
rxn02792_c0,2.3.2.2,
rxn03372_c0,2.7.1.25,R04928
rxn03373_c0,2.7.7.4,R04929
rxn05239_c0,1.8.4.8,R02021
rxn05902_c0,1.8.7.1,
rxn05952_c0,2.3.2.2,R01262
rxn06025_c0,2.3.2.2,R01687
rxn06528_c0,2.3.2.2,
rxn06608_c0,2.3.2.2,R04159
rxn06817_c0,2.3.2.2,R04935
rxn09069_c0,1.8.4.8,
rxn11577_c0,2.3.2.2,R03867
rxn11997_c0,2.3.2.2,R03916
rxn14123_c0,2.3.2.2,R03971
rxn00878_c0,,
rxn00879_c0,,R01183
rxn05743_c0,,
rxn06362_c0,,R03332
rxn12859_c0,,
rxn13018_c0,,
rxn15668_c0,,
rxn30094_c0,,
rxn31225_c0,2.3.1.179,
rxn32907_c0,2.5.1.48,
rxn09338_c0,,
rxn12042_c0,6.3.1.9,R08352
rxn09135_c0,3.1.1.32,
rxn33724_c0,2.1.2.2,
rxn09112_c0,2.7.8.5,
rxn09146_c0,3.1.1.4,
rxn09708_c0,,
rxn01505_c0,2.7.5.2;5.4.2.3,
rxn08719_c0,,
rxn08061_c0,,
rxn09831_c0,,
rxn00257_c0,2.3.3.8;4.1.3.8,R00352
rxn08924_c0,,
rxn06138_c0,,R02239
rxn08202_c0,,
rxn09104_c0,3.1.3.27,
rxn09147_c0,3.1.1.4,
rxn09427_c0,,
rxn10202_c0,2.3.1.15,
rxn38529_c0,1.10.3.14;7.1.1.7,
rxn05216_c0,,
rxn10537_c0,,
rxn12822_c0,1.4.7.1,R00021
rxn05645_c0,,
rxn06044_c0,2.7.8.8,R01800
rxn08222_c0,,
rxn08229_c0,,
rxn08309_c0,2.7.7.41,
rxn09703_c0,,
rxn10191_c0,,
rxn02475_c0,3.5.4.26,R03459
rxn12635_c0,3.4.13.18,
rxn04027_c0,3.13.1.1,
rxn09114_c0,2.7.8.5,
rxn09149_c0,3.1.1.4,
rxn09163_c0,3.1.1.4,
rxn09138_c0,3.1.1.32,
rxn01340_c0,1.14.14.1,
rxn11954_c0,1.14.14.1,R01840
rxn12440_c0,,
rxn00626_c0,,
rxn06086_c0,,R02051
rxn06314_c0,,R03110
rxn06558_c0,,
rxn06798_c0,,
rxn07255_c0,,R07377
rxn07261_c0,,R07384
rxn07263_c0,,R07386
rxn10077_c0,,
rxn10111_c0,2.7.8.8,
rxn10241_c0,,
rxn13027_c0,,
rxn15350_c0,,
rxn29958_c0,,
rxn01395_c0,4.1.1.8,R01908
rxn09814_c0,,
rxn07575_c0,1.3.1.38,R07761
rxn38279_c0,3.5.1.4,
rxn09134_c0,3.1.1.32,
rxn90033_c0,,
rxn90037_c0,3.2.1.1,
rxn90039_c0,,
rxn90043_c0,,
rxn90044_c0,,
rxn01811_c0,1.14.14.1,
rxn11958_c0,1.14.14.1,R02501
rxn09110_c0,2.7.8.5,
rxn06176_c0,1.14.14.1,R02503
rxn12001_c0,1.14.14.1,R04761
rxn32775_c0,2.7.1.40,
rxn00609_c0,,
rxn02760_c0,3.2.1.26,R03921
rxn15062_c0,,
rxn15669_c0,,
rxn08068_c0,,
rxn34397_c0,,
rxn00070_c0,1.6.4.2;1.8.1.7,R00094
rxn00086_c0,1.6.4.2;1.8.1.7,R00115
rxn00154_c0,1.6.4.3;1.8.1.4,R00209
rxn00908_c0,1.6.4.3;1.8.1.4,R01221
rxn01241_c0,1.6.4.3;1.8.1.4,R01698
rxn01418_c0,1.6.4.3;1.8.1.4,R01933
rxn02021_c0,1.16.1.1,R02807
rxn06493_c0,1.6.4.3;1.8.1.4,R03815
rxn08094_c0,1.6.4.3;1.8.1.4,R08549
rxn15694_c0,1.6.4.3;1.8.1.4,
rxn00538_c0,,R00748
rxn01072_c0,,R01469
rxn05038_c0,,R07279
rxn05407_c0,,
rxn06046_c0,2.7.8.11,R01802
rxn06087_c0,,R02052
rxn38081_c0,1.3.5.2,
rxn09213_c0,,
rxn02926_c0,2.6.1.22,
rxn02678_c0,1.3.1.8,R03776
rxn32587_c0,4.2.1.3;4.2.1.4,
rxn00983_c0,,R01351;R07293
rxn06217_c0,,R02687;R05209
rxn08841_c0,,
rxn13153_c0,,
rxn05937_c0,1.18.1.2;1.6.7.1,
rxn19957_c0,1.17.1.2;1.17.7.4,
rxn00701_c0,,
rxn01676_c0,,R02329
rxn04383_c0,,R06528
rxn05918_c0,2.4.1.83,R01009
rxn08087_c0,,
rxn08203_c0,,
rxn08550_c0,2.3.1.15,
rxn08814_c0,,
rxn09105_c0,3.1.3.27,
rxn09461_c0,,
rxn09463_c0,,
rxn09473_c0,,
rxn09474_c0,,
rxn09480_c0,,
rxn09602_c0,,
rxn11553_c0,,R01328
rxn12883_c0,,
rxn13014_c0,,
rxn13238_c0,,
rxn15219_c0,,
rxn33927_c0,3.1.3.25,
rxn08660_c0,,
rxn00882_c0,3.1.3.25,R01186
rxn00526_c0,1.3.1.78,R00733
rxn01087_c0,,R01495
rxn01845_c0,,R02542
rxn08297_c0,2.7.1.107,
rxn09810_c0,,
rxn13438_c0,,
rxn13518_c0,,
rxn14381_c0,2.7.8.27,R08969
rxn00904_c0,2.6.1.66,R01215
rxn10186_c0,,
rxn00798_c0,,R01081
rxn01383_c0,1.1.1.56,R01895
rxn10229_c0,2.7.8.8,
rxn15276_c0,1.1.1.56,
rxn38254_c0,2.6.1.57,
rxn05162_c0,,
rxn06901_c0,2.3.1.158,R05333
rxn13849_c0,,
rxn90005_c0,3.6.3.18;7.5.2.2,
rxn90009_c0,3.6.3.18;7.5.2.2,
rxn00534_c0,,R00743
rxn00579_c0,,
rxn00629_c0,,R00868
rxn00888_c0,,R01192;R06214
rxn01090_c0,,
rxn01525_c0,,
rxn05693_c0,,
rxn06222_c0,,R02693
rxn08306_c0,2.7.7.41,
rxn08796_c0,,
rxn08845_c0,,
rxn09144_c0,3.1.1.4,
rxn14087_c0,,R08944
rxn15152_c0,,
rxn15301_c0,,
rxn15302_c0,,
rxn15414_c0,,
rxn15417_c0,,
rxn09132_c0,3.1.1.32,
rxn01322_c0,4.1.3.3,R01811
rxn15267_c0,4.1.3.3,
rxn12043_c0,6.3.1.9,R08353
rxn13243_c0,,
rxn05028_c0,,R07267
rxn14012_c0,,R08747
rxn31254_c0,,
rxn31321_c0,,
rxn19040_c0,4.2.1.3;4.2.1.4,
rxn09136_c0,3.1.1.32,
rxn33325_c0,1.3.1.8,
rxn12008_c0,,R05611
rxn16108_c0,2.5.1.30,
rxn00202_c0,2.3.3.14;4.1.3.21,
rxn02466_c0,4.2.1.114,
rxn09109_c0,2.7.8.5,
rxn09206_c0,2.7.8.8,
rxn08083_c0,,
rxn08199_c0,,
rxn08546_c0,2.3.1.15,
rxn31980_c0,,
rxn08866_c0,,
rxn00603_c0,,R00834
rxn13017_c0,,
rxn15070_c0,,
rxn19872_c0,2.5.1.1,
rxn08784_c0,,
rxn27497_c0,2.3.3.13;4.1.3.12,
rxn08592_c0,,
rxn01381_c0,,R01891
rxn01886_c0,,R02591
rxn08559_c0,,
rxn09373_c0,,
rxn01691_c0,1.14.14.1,
rxn01694_c0,1.14.14.1,R02354
rxn12000_c0,1.14.14.1,R04759
rxn09811_c0,,
rxn01188_c0,,R01627
rxn02390_c0,,R03333
rxn05926_c0,,
rxn05990_c0,,R01369;R02250
rxn06081_c0,,
rxn06141_c0,,R02242
rxn06234_c0,,R02758
rxn06368_c0,,R03364
rxn07267_c0,,
rxn08820_c0,,
rxn09126_c0,3.1.1.32,
rxn06596_c0,1.14.14.1,R04121
rxn00360_c0,3.1.3.7,R00508
rxn08307_c0,2.7.7.41,
rxn09131_c0,3.1.1.32,
rxn09139_c0,3.1.1.32,
rxn04862_c0,1.14.14.1,R07056
rxn01107_c0,3.1.1.17,R01519
rxn00462_c0,5.4.2.9,R00661
rxn02845_c0,4.1.1.82,R04053
rxn02900_c0,2.6.1.37,R04152
rxn04026_c0,4.1.1.79,R05774
rxn00880_c0,,R01184
rxn00881_c0,3.1.3.25,R01185
rxn01080_c0,,R01482
rxn02100_c0,3.1.1.17,R02933
rxn02278_c0,,R03183
rxn05572_c0,,
rxn05610_c0,,
rxn09841_c0,,
rxn10638_c0,,
rxn15212_c0,,
rxn15213_c0,,
rxn02209_c0,1.1.1.77,R03080
rxn04308_c0,2.5.1.31,
rxn33576_c0,2.5.1.31,
rxn33834_c0,2.5.1.31,
rxn01124_c0,1.1.1.125,
rxn90113_c0,,
rxn90114_c0,,
rxn00032_c0,,
rxn00270_c0,,R00367
rxn01141_c0,,R01564
rxn02028_c0,2.1.1.5,R02821
rxn03643_c0,,R05338
rxn03644_c0,,R05339
rxn05256_c0,,R07176
rxn08223_c0,,
rxn08230_c0,,
rxn08300_c0,2.7.1.107,
rxn08631_c0,,
rxn08802_c0,,
rxn08816_c0,,
rxn08842_c0,,
rxn09066_c0,,
rxn09082_c0,,
rxn09083_c0,,
rxn09107_c0,3.1.3.27,
rxn29959_c0,,
rxn05160_c0,,
rxn00174_c0,4.1.1.9,R00233
rxn00317_c0,2.6.1.36,R00457
rxn00430_c0,1.1.1.244,R00605
rxn05011_c0,,R07244
rxn27664_c0,2.2.1.6;4.1.3.18,
rxn02041_c0,4.4.1.9,R02846;R03524
rxn02516_c0,4.4.1.9,R02846;R03524
rxn15370_c0,4.4.1.9,
rxn33365_c0,2.4.2.8,
rxn04384_c0,6.3.1.10,R06529
rxn05054_c0,6.3.1.10,R07302
rxn00292_c0,5.1.3.14,R00414
rxn00297_c0,5.1.3.14,
rxn01953_c0,5.1.3.14,
rxn02432_c0,1.17.1.1,R03391
rxn02433_c0,1.17.1.1,R03392
rxn00751_c0,,R01021
rxn00910_c0,1.1.1.171;1.5.1.20,R01224
rxn05964_c0,,R01312
rxn14289_c0,1.14.14.1,R01842
rxn01317_c0,3.1.3.29,R01805
rxn02925_c0,2.6.1.18,
rxn06092_c0,,R02057
rxn15266_c0,4.1.3.3,
rxn33164_c0,2.2.1.6;4.1.3.18,
rxn05072_c0,,R07324
rxn08799_c0,,
rxn27351_c0,,
rxn07260_c0,,R07383
rxn07262_c0,,R07385
rxn01267_c0,,
rxn08829_c0,,
rxn08836_c0,,
rxn10293_c0,2.7.8.12,
rxn02939_c0,1.1.1.290,R04210
rxn02474_c0,1.1.1.193,R03458
rxn00587_c0,,R00816
rxn00595_c0,1.14.12.1,R00825
rxn04040_c0,,R05800
rxn06367_c0,,R03363
rxn06378_c0,,R03435
rxn06389_c0,,
rxn06972_c0,,
rxn07230_c0,,R07299
rxn09119_c0,,
rxn09991_c0,,
rxn21189_c0,,
rxn21190_c0,,
rxn21246_c0,,
rxn37863_c0,5.1.3.2,
rxn32133_c0,1.6.4.2;1.8.1.7,
rxn05596_c0,,
rxn01695_c0,1.14.14.1,R02355
rxn33391_c0,2.2.1.6;4.1.3.18,
rxn00322_c0,4.1.1.18,R00462
rxn00208_c0,1.4.3.5,R00277
rxn00209_c0,1.4.3.5,R00278
rxn00216_c0,2.7.1.1;2.7.1.2,R00299
rxn00537_c0,3.11.1.1,R00747
rxn00541_c0,4.1.2.48;4.1.2.5,R00751
rxn00545_c0,2.7.1.11,R00756
rxn00554_c0,2.7.1.11,R00767
rxn00556_c0,2.7.1.11,R00769
rxn00557_c0,2.7.1.11,R00770
rxn00892_c0,2.7.1.59,R01201
rxn00975_c0,2.7.1.7,R01326
rxn01143_c0,2.7.1.145;2.7.1.21;2.7.1.75,R01567
rxn01152_c0,5.3.1.3,R01577
rxn01169_c0,2.7.1.1;2.7.1.2,R01600
rxn01171_c0,5.1.3.3,
rxn01251_c0,1.4.3.5,R01710
rxn01252_c0,1.4.3.5,R01711
rxn01343_c0,2.7.1.11,R01843
rxn01346_c0,2.7.1.11,
rxn01347_c0,2.7.1.11,
rxn01348_c0,2.7.1.11,
rxn01518_c0,2.7.1.145;2.7.1.21;2.7.1.75,R02099
rxn01520_c0,2.1.1.45,R02101
rxn01583_c0,1.3.1.22;1.3.1.30;1.3.1.4,R02208
rxn01901_c0,1.3.1.22;1.3.1.30;1.3.1.4,R02610
rxn02069_c0,1.3.1.22;1.3.1.30;1.3.1.4,R02892
rxn02263_c0,5.3.1.25,R03163
rxn02314_c0,2.7.1.11,R03236
rxn02315_c0,2.7.1.11,R03237
rxn02316_c0,2.7.1.11,R03238
rxn02317_c0,2.7.1.11,R03239
rxn04142_c0,4.1.2.48;4.1.2.5,R06171
rxn05059_c0,3.5.4.30,R07307
rxn05181_c0,,
rxn06630_c0,2.7.4.13;2.7.4.14;2.7.4.25,
rxn07476_c0,2.4.2.53;2.7.8.30,
rxn08126_c0,2.4.1.25;2.4.1.3;3.2.1.33,
rxn08127_c0,2.4.1.25;2.4.1.3;3.2.1.33,
rxn08128_c0,2.4.1.25;2.4.1.3;3.2.1.33,
rxn08129_c0,2.4.1.25;2.4.1.3;3.2.1.33,
rxn08582_c0,5.1.3.3,
rxn09071_c0,1.4.3.5,
rxn10862_c0,,
rxn11007_c0,2.1.1.45,
rxn11761_c0,2.7.1.145;2.7.1.21;2.7.1.75,R08233
rxn14322_c0,1.3.1.22;1.3.1.30;1.3.1.4,R08954
rxn15063_c0,2.7.1.11,
rxn15065_c0,2.7.1.11,
rxn15066_c0,2.7.1.11,
rxn15227_c0,5.3.1.3,
rxn15249_c0,2.7.1.1;2.7.1.2,
rxn15493_c0,2.7.1.11,
rxn00552_c0,3.5.99.6;5.3.1.10,R00765
rxn05968_c0,2.3.1.23,R01318
rxn28981_c0,4.1.2.13;4.1.2.7,
rxn38002_c0,2.7.1.11,
rxn03251_c0,1.3.8.1,R04751
rxn15061_c0,3.5.99.6;5.3.1.10,
rxn00978_c0,,R01330
rxn01685_c0,1.1.1.304,R02343
rxn07173_c0,2.3.1.15,R06872
rxn07254_c0,,R07376
rxn08200_c0,,
rxn08220_c0,,
rxn08227_c0,,
rxn08547_c0,2.3.1.15,
rxn08804_c0,,
rxn08846_c0,,
rxn09145_c0,3.1.1.4,
rxn09152_c0,3.1.1.4,
rxn13211_c0,,
rxn14256_c0,,R08613
rxn15383_c0,,
rxn15766_c0,,
rxn90112_c0,,
rxn02666_c0,,R03758
rxn12371_c0,,
rxn00141_c0,,R00192
rxn27259_c0,2.7.7.4,
rxn00546_c0,,R00758
rxn00891_c0,,R01200
rxn01149_c0,,R01574
rxn01959_c0,3.1.1.30,R02714
rxn06202_c0,,R02631
rxn08599_c0,,
rxn09423_c0,,
rxn09842_c0,,
rxn13990_c0,,
rxn16048_c0,,
rxn00958_c0,1.2.1.7,R01294
rxn01306_c0,4.1.2.28,R01782
rxn05518_c0,,
rxn00965_c0,,R01301
rxn09192_c0,,
rxn04852_c0,1.14.14.1,R07046
rxn27591_c0,,
rxn09269_c0,,
rxn10211_c0,,
rxn08624_c0,,
rxn01479_c0,2.7.7.14,R02038
rxn05966_c0,3.1.1.32,R01314;R01316
rxn15170_c0,3.1.1.32,
rxn07949_c0,,
rxn09422_c0,,
rxn12448_c0,,
rxn25963_c0,3.1.3.29,
rxn00540_c0,4.1.3.39,R00750
rxn00944_c0,,R01277
rxn01425_c0,1.2.1.44,
rxn01498_c0,,
rxn01499_c0,,R02080
rxn01803_c0,,R02489
rxn01893_c0,,R02601
rxn01896_c0,,R02604
rxn02323_c0,,R03246
rxn02414_c0,,R03366
rxn02601_c0,,
rxn02788_c0,,
rxn02992_c0,1.97.1.2,
rxn03970_c0,,R05700
rxn04407_c0,,
rxn04428_c0,,
rxn06317_c0,,
rxn07523_c0,,R07709
rxn12674_c0,,
rxn27000_c0,,
rxn28889_c0,,
rxn90086_c0,,
rxn90087_c0,,
rxn00326_c0,1.2.1.17,R00468
rxn00702_c0,2.7.7.33,R00956
rxn01005_c0,,R01381
rxn01076_c0,,R01476
rxn04056_c0,1.1.1.274,R05823
rxn15833_c0,1.1.1.274,
rxn01419_c0,1.1.1.286;1.1.1.87,R01934
rxn03034_c0,4.2.1.114,R04371
rxn05118_c0,2.6.1.82,R07408
rxn05625_c0,,
rxn27955_c0,1.1.1.286;1.1.1.41,
rxn08086_c0,,
rxn08549_c0,2.3.1.15,
rxn08561_c0,,
rxn14215_c0,4.2.3.47,R08695
