reaction,ec,kegg
rxn00786_c0,4.1.2.13;4.1.2.7,R01068
rxn00789_c0,2.4.2.17,R01071
rxn00790_c0,2.4.2.14,R01072
rxn00791_c0,2.4.2.18,R01073
rxn00797_c0,3.2.2.3,R01080
rxn00799_c0,4.2.1.2,R01082
rxn00800_c0,4.3.2.2,R01083
rxn00802_c0,4.3.2.1,
rxn00806_c0,2.6.1.42,R01090
rxn00830_c0,5.3.3.2,R01123
rxn00831_c0,3.1.3.5,R01126
rxn00832_c0,3.5.4.10,R01127
rxn00834_c0,1.1.1.205;1.2.1.14,R01130
rxn00836_c0,2.4.2.8,R01132
rxn00838_c0,6.3.4.4,R01135
rxn00839_c0,2.7.4.6,R01137
rxn00840_c0,2.7.1.40,R01138
rxn00851_c0,6.3.2.4,R01150
rxn00853_c0,3.5.1.53,R01152
rxn00859_c0,1.1.1.23,R01158
rxn00863_c0,1.1.1.23,R01163
rxn00873_c0,6.2.1.3,R01176
rxn00898_c0,4.2.1.9,R01209
rxn00902_c0,2.3.3.13;4.1.3.12,R01213
rxn00903_c0,2.6.1.42,R01214
rxn00905_c0,2.1.2.11,R01216
rxn00907_c0,1.5.1.5,R01220
rxn00912_c0,2.1.2.11,R01226
rxn00913_c0,3.1.3.5,R01227
rxn00915_c0,2.4.2.7,R01229
rxn00916_c0,6.3.4.1;6.3.5.2,R01230
rxn00917_c0,6.3.4.1;6.3.5.2,R01231
rxn00927_c0,3.2.2.1,R01245
rxn00934_c0,6.2.1.9,R01256
rxn00942_c0,3.2.2.1,R01273
rxn00943_c0,3.1.2.2,R01274
rxn00947_c0,6.2.1.3,R01280
rxn00949_c0,4.4.1.2,R01283
rxn00950_c0,4.4.1.13;4.4.1.6;4.4.1.8,
rxn00952_c0,2.5.1.49,R01287
rxn00955_c0,3.13.1.2;4.4.1.21,
rxn00957_c0,1.2.1.28,R01293
rxn00973_c0,4.2.1.3;4.2.1.4,R01324
rxn00974_c0,4.2.1.3;4.2.1.4,R01325
rxn00979_c0,1.2.1.21,R01333
rxn00986_c0,6.2.1.17,R01354
rxn00993_c0,3.7.1.2,
rxn01000_c0,4.2.1.51,
rxn01011_c0,1.1.1.29,R01388
rxn01013_c0,1.1.1.81,R01392
rxn01018_c0,2.1.3.2,R01397
rxn01019_c0,2.1.3.3,R01398
rxn01021_c0,3.2.2.16;3.2.2.9,R01401
rxn01022_c0,2.4.2.28,R01402
rxn01029_c0,3.5.3.12,R01416
rxn01032_c0,1.2.1.28;1.2.1.29,R01419;R01486
rxn01048_c0,2.2.1.3,R01440
rxn01053_c0,1.2.1.21,R01446
rxn01069_c0,4.2.3.1,R01466
rxn01073_c0,3.1.4.2,R01470
rxn01075_c0,5.1.3.5,
rxn01100_c0,2.7.2.3,R01512
rxn01101_c0,1.1.1.95,R01513
rxn01104_c0,3.1.3.13;5.4.2.11,
rxn01106_c0,5.4.2.12,R01518
rxn01116_c0,5.1.3.1,R01529
rxn01117_c0,5.3.1.13,R01530
rxn01121_c0,4.2.1.140;4.2.1.39,
rxn01122_c0,4.2.1.7,
rxn01127_c0,2.7.4.3,R01547
rxn01137_c0,3.5.4.4,R01560
rxn01138_c0,2.4.2.1,R01561
rxn01145_c0,3.1.3.5,R01569
rxn01153_c0,3.5.1.2;3.5.1.38,R01579
rxn01200_c0,2.2.1.1,
rxn01210_c0,6.3.2.17,
rxn01211_c0,3.5.4.9,R01655
rxn01218_c0,3.1.3.5,R01664
rxn01219_c0,2.7.4.14;2.7.4.22;2.7.4.5,R01665
rxn01226_c0,3.2.2.1,R01677
rxn01255_c0,4.2.3.5;4.6.1.4,R01714
rxn01256_c0,5.4.99.5,R01715
rxn01257_c0,2.6.1.85;6.3.5.8,R01716
rxn01265_c0,2.4.2.11;6.3.4.21,
rxn01270_c0,2.6.1.78,R01731
rxn01273_c0,1.2.1.47,R01735
rxn01279_c0,1.1.99.3,R01741
rxn01286_c0,1.1.1.70;1.2.1.3,R01752
rxn01299_c0,3.2.2.1,R01770
rxn01300_c0,2.7.1.39,R01771
rxn01301_c0,1.1.1.3,R01773
rxn01302_c0,1.1.1.3,R01775
rxn01303_c0,2.3.1.31,R01776
rxn01304_c0,2.3.1.46,R01777
rxn01316_c0,2.5.1.56;4.1.3.19,R01804
rxn01329_c0,2.7.5.7;5.4.2.8,R01818
rxn01331_c0,1.2.1.72,R01825
rxn01332_c0,2.5.1.54;4.1.2.15,R01826
rxn01333_c0,2.2.1.2,R08575
rxn01334_c0,4.1.2.13;4.1.2.7,R01829
rxn01351_c0,3.6.1.19;3.6.1.23;3.6.1.9,R01855
rxn01353_c0,2.7.4.6,R01857
rxn01354_c0,2.7.1.40,R01858
rxn01358_c0,2.4.2.1,R01863
rxn01362_c0,2.4.2.10,R01870
rxn01387_c0,1.1.1.42,R01899
rxn01388_c0,4.2.1.3;4.2.1.4,R01900
rxn01423_c0,2.6.1.39,R01939
rxn01434_c0,6.3.4.5,
rxn01445_c0,3.1.3.5,R01968
rxn01446_c0,2.4.2.1,R01969
rxn01459_c0,1.1.1.70;1.2.1.3,R01986
rxn01465_c0,3.5.2.3,R01993
rxn01474_c0,1.1.1.43,R02032
rxn01475_c0,1.1.1.43,R02034
rxn01477_c0,4.2.1.12,R02036
rxn01485_c0,5.4.2.10,R02060
rxn01507_c0,3.1.3.5,R02088
rxn01509_c0,2.7.4.8,R02090
rxn01512_c0,2.7.4.6,R02093
rxn01513_c0,2.7.4.12;2.7.4.13;2.7.4.9,R02094
rxn01517_c0,2.7.4.12;2.7.4.13;2.7.4.9,R02098
rxn01519_c0,3.6.1.19;3.6.1.23;3.6.1.9,R02100
rxn01521_c0,3.1.3.5,R02102
rxn01529_c0,1.2.1.36,R02123
rxn01539_c0,3.1.3.2,R02135
rxn01544_c0,2.4.2.8,R02142
rxn01545_c0,3.2.2.1,R02143
rxn01548_c0,2.4.2.1,R02147
rxn01564_c0,1.4.3.21;1.4.3.4;1.4.3.9,R02173
rxn01575_c0,2.6.1.42,R02199
rxn01601_c0,1.5.1.3;1.5.1.4,R02235
rxn01602_c0,1.5.1.3;1.5.1.4,R02236
rxn01603_c0,6.3.2.17,
rxn01617_c0,1.1.1.55,R02259;R02577
