reaction,name
EX_cpd00129_e0,L-Proline-e0 Exchange
EX_cpd00130_e0,L-Malate-e0 Exchange
EX_cpd00132_e0,L-Asparagine-e0 Exchange
EX_cpd00137_e0,Citrate-e0 Exchange
EX_cpd00138_e0,D-Mannose-e0 Exchange
EX_cpd00139_e0,Glycolate-e0 Exchange
EX_cpd00141_e0,Propionate-e0 Exchange
EX_cpd00149_e0,Co2+-e0 Exchange
EX_cpd00150_e0,HCN-e0 Exchange
EX_cpd00153_e0,Benzoate-e0 Exchange
EX_cpd00154_e0,Xylose-e0 Exchange
EX_cpd00156_e0,L-Valine-e0 Exchange
EX_cpd00159_e0,L-Lactate-e0 Exchange
EX_cpd00161_e0,L-Threonine-e0 Exchange
EX_cpd00178_e0,Acetone-e0 Exchange
EX_cpd00179_e0,Maltose-e0 Exchange
EX_cpd00180_e0,Oxalate-e0 Exchange
EX_cpd00182_e0,Adenosine-e0 Exchange
EX_cpd00185_e0,D-Arabinose-e0 Exchange
EX_cpd00204_e0,CO-e0 Exchange
EX_cpd00205_e0,K+-e0 Exchange
EX_cpd00208_e0,LACT-e0 Exchange
EX_cpd00209_e0,Nitrate-e0 Exchange
EX_cpd00210_e0,Taurine-e0 Exchange
EX_cpd00214_e0,Palmitate-e0 Exchange
EX_cpd00220_e0,Riboflavin Exchange
EX_cpd00221_e0,D-Lactate-e0 Exchange
EX_cpd00224_e0,L-Arabinose-e0 Exchange
EX_cpd00239_e0,H2S-e0 Exchange
EX_cpd00244_e0,Ni2+-e0 Exchange
EX_cpd00246_e0,Inosine-e0 Exchange
EX_cpd00254_e0,Mg Exchange
EX_cpd00264_e0,Spermidine-e0 Exchange
EX_cpd00276_e0,GLUM-e0 Exchange
EX_cpd00281_e0,GABA-e0 Exchange
EX_cpd00305_e0,Thiamin-e0 Exchange
EX_cpd00311_e0,Guanosine-e0 Exchange
EX_cpd00314_e0,D-Mannitol-e0 Exchange
EX_cpd00322_e0,L-Isoleucine-e0 Exchange
EX_cpd00324_e0,MTTL-e0 Exchange
EX_cpd00359_e0,indol-e0 Exchange
EX_cpd00363_e0,Ethanol-e0 Exchange
EX_cpd00371_e0,Propanal-e0 Exchange
EX_cpd00380_e0,Itaconate-e0 Exchange
EX_cpd00418_e0,NO-e0 Exchange
EX_cpd00448_e0,D-Glyceraldehyde-e0 Exchange
EX_cpd00450_e0,Methyl sulfide-e0 Exchange
EX_cpd00453_e0,"1,2-Propanediol-e0 Exchange"
EX_cpd00528_e0,N2-e0 Exchange
EX_cpd00531_e0,Hg2+-e0 Exchange
EX_cpd00540_e0,BET-e0 Exchange
EX_cpd00609_e0,D-Glucarate-e0 Exchange
EX_cpd00644_e0,PAN-e0 Exchange
EX_cpd00659_e0,Nitrous oxide-e0 Exchange
EX_cpd00751_e0,L-Fucose-e0 Exchange
EX_cpd00794_e0,TRHL-e0 Exchange
EX_cpd00811_e0,(CH3)3NO-e0 Exchange
EX_cpd00908_e0,Glycerophosphoethanolamine-e0 Exchange
EX_cpd00971_e0,Na+-e0 Exchange
EX_cpd01012_e0,Cd2+-e0 Exchange
EX_cpd01024_e0,Methane-e0 Exchange
EX_cpd01048_e0,Arsenate-e0 Exchange
EX_cpd01080_e0,ocdca-e0 Exchange
EX_cpd01107_e0,Decanoate-e0 Exchange
EX_cpd01113_e0,Hexanoate-e0 Exchange
EX_cpd01132_e0,Puromycin-e0 Exchange
EX_cpd01133_e0,Stachyose-e0 Exchange
EX_cpd01262_e0,Amylotriose-e0 Exchange
EX_cpd01354_e0,beta-Lactose-e0 Exchange
EX_cpd01399_e0,Maltotetraose-e0 Exchange
EX_cpd01618_e0,"1,3-Propanediol-e0 Exchange"
EX_cpd01741_e0,ddca-e0 Exchange
EX_cpd01861_e0,"(R)-1,2-Propanediol-e0 Exchange"
EX_cpd01981_e0,5-Methylthio-D-ribose-e0 Exchange
EX_cpd02090_e0,Glycerophosphoglycerol-e0 Exchange
EX_cpd02733_e0,Deoxycholate-e0 Exchange
EX_cpd03587_e0,kdo2-lipid a-e0 Exchange
EX_cpd03662_e0,n-Butanol-e0 Exchange
EX_cpd03808_e0,Lacto-N-biose-e0 Exchange
EX_cpd03846_e0,octanoate-e0 Exchange
EX_cpd03847_e0,Myristic acid-e0 Exchange
EX_cpd04097_e0,Pb-e0 Exchange
EX_cpd04098_e0,Arsenite-e0 Exchange
EX_cpd05235_e0,tetracosanoate-e0 Exchange
EX_cpd08021_e0,DMSO-e0 Exchange
